id_hecho_calidad,nombre_proyecto,año,nombre_mes,dia,semana,tipo_prueba,severidad,cantidad_defectos_encontrados
1,Proy-2023-optimiza,2024,Abril,6,14,integración,nula,0
2,Proy-2023-optimiza,2024,Abril,26,17,integración,nula,0
3,Proy-2023-optimiza,2024,Mayo,27,22,integración,media,1
4,Proy-2023-optimiza,2024,Mayo,29,22,integración,nula,0
5,Proy-2023-optimiza,2024,Junio,4,23,integración,nula,0
6,Proy-2023-optimiza,2024,Junio,9,23,integración,media,1
7,Proy-2023-optimiza,2024,Junio,12,24,sistema,nula,0
8,Proy-2023-optimiza,2024,Junio,23,25,sistema,nula,0
9,Proy-2023-optimiza,2024,Junio,28,26,sistema,nula,0
10,Proy-2023-optimiza,2024,Julio,8,28,sistema,nula,0
11,Proy-2023-optimiza,2024,Julio,10,28,integración,nula,0
12,Proy-2023-optimiza,2024,Julio,11,28,sistema,nula,0
13,Proy-2023-optimiza,2024,Julio,12,28,integración,nula,0
14,Proy-2023-optimiza,2024,Julio,27,30,integración,nula,0
15,Proy-2023-optimiza,2024,Julio,27,30,sistema,nula,0
16,Proy-2023-optimiza,2024,Julio,28,30,sistema,media,1
17,Proy-2023-optimiza,2024,Julio,28,30,sistema,nula,0
18,Proy-2023-optimiza,2024,Agosto,12,33,integración,alta,1
19,Proy-2023-optimiza,2024,Agosto,13,33,sistema,nula,0
20,Proy-2023-optimiza,2024,Agosto,15,33,integración,media,1
21,Proy-2023-optimiza,2024,Agosto,17,33,sistema,nula,0
22,Proy-2023-optimiza,2024,Agosto,19,34,integración,crítica,1
23,Proy-2023-optimiza,2024,Agosto,20,34,sistema,media,1
24,Proy-2023-optimiza,2024,Agosto,21,34,integración,nula,0
25,Proy-2023-optimiza,2024,Agosto,21,34,sistema,nula,0
26,Proy-2023-optimiza,2024,Agosto,22,34,integración,nula,0
27,Proy-2023-optimiza,2024,Agosto,24,34,sistema,media,1
28,Proy-2023-optimiza,2024,Agosto,25,34,sistema,nula,0
29,Proy-2023-optimiza,2024,Agosto,26,35,integración,nula,0
30,Proy-2023-optimiza,2024,Agosto,26,35,sistema,baja,1
31,Proy-2023-optimiza,2024,Agosto,26,35,sistema,nula,0
32,Proy-2023-optimiza,2024,Agosto,30,35,integración,nula,0
33,Proy-2023-optimiza,2024,Agosto,31,35,integración,nula,0
34,Proy-2023-optimiza,2024,Septiembre,2,36,sistema,alta,1
35,Proy-2023-optimiza,2024,Septiembre,5,36,sistema,nula,0
36,Proy-2023-optimiza,2024,Septiembre,6,36,integración,nula,0
37,Proy-2023-optimiza,2024,Septiembre,9,37,integración,nula,0
38,Proy-2023-optimiza,2024,Septiembre,9,37,sistema,nula,0
39,Proy-2023-optimiza,2024,Septiembre,10,37,integración,nula,0
40,Proy-2023-optimiza,2024,Septiembre,11,37,sistema,nula,0
41,Proy-2023-optimiza,2024,Septiembre,12,37,integración,baja,1
42,Proy-2023-optimiza,2024,Septiembre,17,38,integración,nula,0
43,Proy-2023-optimiza,2024,Septiembre,17,38,sistema,nula,0
44,Proy-2023-optimiza,2024,Septiembre,18,38,integración,nula,0
45,Proy-2023-optimiza,2024,Septiembre,19,38,integración,nula,0
46,Proy-2023-optimiza,2024,Septiembre,20,38,integración,nula,0
47,Proy-2023-optimiza,2024,Septiembre,25,39,integración,baja,1
48,Proy-2023-optimiza,2024,Septiembre,25,39,integración,nula,0
49,Proy-2023-optimiza,2024,Septiembre,27,39,sistema,nula,0
50,Proy-2023-optimiza,2024,Septiembre,28,39,integración,media,1
51,Proy-2023-optimiza,2024,Septiembre,28,39,integración,nula,0
52,Proy-2023-optimiza,2024,Septiembre,30,40,integración,nula,0
53,Proy-2023-optimiza,2024,Octubre,3,40,sistema,nula,0
54,Proy-2023-optimiza,2024,Octubre,4,40,integración,nula,0
55,Proy-2023-optimiza,2024,Octubre,11,41,integración,nula,0
56,Proy-2023-optimiza,2024,Octubre,13,41,integración,nula,0
57,Proy-2023-optimiza,2024,Octubre,14,42,sistema,nula,0
58,Proy-2023-optimiza,2024,Octubre,16,42,integración,nula,0
59,Proy-2023-optimiza,2024,Octubre,16,42,sistema,nula,0
60,Proy-2023-optimiza,2024,Octubre,17,42,sistema,nula,0
61,Proy-2023-optimiza,2024,Octubre,20,42,sistema,nula,0
62,Proy-2023-optimiza,2024,Octubre,22,43,sistema,nula,0
63,Proy-2023-optimiza,2024,Octubre,23,43,integración,nula,0
64,Proy-2023-optimiza,2024,Octubre,24,43,sistema,nula,0
65,Proy-2023-optimiza,2024,Octubre,26,43,integración,alta,1
66,Proy-2023-optimiza,2024,Octubre,26,43,integración,media,2
67,Proy-2023-optimiza,2024,Octubre,29,44,integración,media,1
68,Proy-2023-optimiza,2024,Octubre,31,44,integración,nula,0
69,Proy-2023-optimiza,2024,Noviembre,2,44,integración,nula,0
70,Proy-2023-optimiza,2024,Noviembre,3,44,sistema,nula,0
71,Proy-2023-optimiza,2024,Noviembre,4,45,integración,nula,0
72,Proy-2023-optimiza,2024,Noviembre,6,45,integración,nula,0
73,Proy-2023-optimiza,2024,Noviembre,13,46,sistema,nula,0
74,Proy-2023-optimiza,2024,Noviembre,15,46,integración,nula,0
75,Proy-2023-optimiza,2024,Noviembre,18,47,integración,nula,0
76,Proy-2023-optimiza,2024,Noviembre,18,47,sistema,nula,0
77,Proy-2023-optimiza,2024,Noviembre,22,47,sistema,nula,0
78,Proy-2023-optimiza,2024,Noviembre,25,48,integración,nula,0
79,Proy-2023-optimiza,2024,Noviembre,26,48,sistema,nula,0
80,Proy-2023-optimiza,2024,Noviembre,28,48,integración,nula,0
81,Proy-2016-itera,2016,Marzo,17,11,sistema,nula,0
82,Proy-2016-itera,2016,Abril,21,16,sistema,baja,1
83,Proy-2016-itera,2016,Abril,22,16,sistema,nula,0
84,Proy-2016-itera,2016,Abril,26,17,integración,nula,0
85,Proy-2016-itera,2016,Abril,26,17,sistema,nula,0
86,Proy-2016-itera,2016,Abril,28,17,integración,media,1
87,Proy-2016-itera,2016,Abril,30,17,integración,crítica,1
88,Proy-2016-itera,2016,Mayo,2,18,integración,nula,0
89,Proy-2016-itera,2016,Mayo,3,18,integración,crítica,1
90,Proy-2016-itera,2016,Mayo,7,18,integración,nula,0
91,Proy-2016-itera,2016,Mayo,13,19,integración,nula,0
92,Proy-2016-itera,2016,Mayo,13,19,sistema,alta,1
93,Proy-2016-itera,2016,Mayo,13,19,sistema,nula,0
94,Proy-2016-itera,2016,Mayo,16,20,sistema,nula,0
95,Proy-2016-itera,2016,Mayo,17,20,integración,nula,0
96,Proy-2016-itera,2016,Mayo,24,21,sistema,nula,0
97,Proy-2016-itera,2016,Mayo,25,21,sistema,crítica,1
98,Proy-2016-itera,2016,Mayo,26,21,sistema,nula,0
99,Proy-2016-itera,2016,Mayo,27,21,integración,nula,0
100,Proy-2016-itera,2016,Mayo,29,21,integración,nula,0
101,Proy-2016-itera,2016,Junio,1,22,integración,nula,0
102,Proy-2020-visualiza,2021,Febrero,16,7,integración,alta,1
103,Proy-2020-visualiza,2021,Marzo,6,9,integración,nula,0
