id_asignacion,id_empleado,id_proyecto,rol,fecha_asignacion,estado
1,103,1,Tester,2023-12-23,finalizado
2,92,1,Developer,2023-12-23,finalizado
3,25,1,Developer,2023-12-23,finalizado
4,64,1,Developer,2023-12-23,finalizado
5,41,1,Developer,2023-12-23,finalizado
6,113,1,Developer,2023-12-23,finalizado
7,30,1,Tester,2023-12-23,finalizado
8,117,1,Developer,2023-12-23,finalizado
9,102,1,Tester,2023-12-23,finalizado
10,2,2,Developer,2016-02-10,finalizado
11,24,2,Developer,2016-02-10,finalizado
12,27,2,Developer,2016-02-10,finalizado
13,5,2,Developer,2016-02-10,finalizado
14,30,2,Developer,2016-02-10,finalizado
15,26,2,Developer,2016-02-10,finalizado
16,92,2,Tester,2016-02-10,finalizado
17,111,2,Developer,2016-02-10,finalizado
18,117,2,Developer,2016-02-10,finalizado
19,44,2,Developer,2016-02-10,finalizado
20,102,3,Tester,2020-11-20,finalizado
21,43,3,Developer,2020-11-20,finalizado
22,37,3,Developer,2020-11-20,finalizado
23,107,3,Developer,2020-11-20,finalizado
24,21,3,Developer,2020-11-20,finalizado
25,113,3,Developer,2020-11-20,finalizado
26,41,3,Developer,2020-11-20,finalizado
27,20,3,Tester,2020-11-20,finalizado
28,18,3,Developer,2020-11-20,finalizado
29,50,4,Developer,2024-07-12,activo
30,118,4,Tester,2024-07-12,activo
31,74,4,Developer,2024-07-12,activo
32,33,4,Developer,2024-07-12,activo
33,104,4,Developer,2024-07-12,activo
34,55,4,Developer,2024-07-12,activo
35,40,5,Tester,2019-10-30,finalizado
36,15,5,Developer,2019-10-30,finalizado
37,25,5,Developer,2019-10-30,finalizado
38,27,5,Developer,2019-10-30,finalizado
39,109,5,Developer,2019-10-30,finalizado
40,115,5,Developer,2019-10-30,finalizado
41,50,5,Developer,2019-10-30,finalizado
42,62,6,Developer,2024-08-02,finalizado
43,5,6,Developer,2024-08-02,finalizado
44,24,6,Developer,2024-08-02,finalizado
45,1,6,Developer,2024-08-02,finalizado
46,90,6,Developer,2024-08-02,finalizado
47,63,6,Developer,2024-08-02,finalizado
48,6,7,Developer,2025-11-08,finalizado
49,29,7,Tester,2025-11-08,finalizado
50,118,7,Developer,2025-11-08,finalizado
51,48,7,Developer,2025-11-08,finalizado
52,4,7,Developer,2025-11-08,finalizado
53,44,7,Developer,2025-11-08,finalizado
54,116,8,Developer,2021-03-22,finalizado
55,102,8,Developer,2021-03-22,finalizado
56,47,8,Developer,2021-03-22,finalizado
57,21,8,Developer,2021-03-22,finalizado
58,115,8,Developer,2021-03-22,finalizado
59,57,8,Developer,2021-03-22,finalizado
60,59,8,Developer,2021-03-22,finalizado
61,74,8,Developer,2021-03-22,finalizado
62,24,8,Developer,2021-03-22,finalizado
63,47,9,Developer,2020-05-29,finalizado
64,20,9,Developer,2020-05-29,finalizado
65,44,9,Developer,2020-05-29,finalizado
66,23,9,Developer,2020-05-29,finalizado
67,40,9,Tester,2020-05-29,finalizado
68,95,9,Developer,2020-05-29,finalizado
69,89,9,Tester,2020-05-29,finalizado
70,26,10,Developer,2024-02-24,finalizado
71,57,10,Developer,2024-02-24,finalizado
72,3,10,Tester,2024-02-24,finalizado
73,15,10,Developer,2024-02-24,finalizado
74,101,10,Tester,2024-02-24,finalizado
75,8,11,Developer,2018-05-01,finalizado
76,115,11,Tester,2018-05-01,finalizado
77,111,11,Tester,2018-05-01,finalizado
78,27,11,Tester,2018-05-01,finalizado
79,36,11,Developer,2018-05-01,finalizado
80,25,12,Developer,2025-03-05,finalizado
81,52,12,Developer,2025-03-05,finalizado
82,83,12,Tester,2025-03-05,finalizado
83,19,12,Developer,2025-03-05,finalizado
84,94,12,Developer,2025-03-05,finalizado
85,28,12,Tester,2025-03-05,finalizado
86,21,12,Developer,2025-03-05,finalizado
87,78,12,Developer,2025-03-05,finalizado
88,15,13,Developer,2016-05-18,finalizado
89,113,13,Tester,2016-05-18,finalizado
90,14,13,Developer,2016-05-18,finalizado
91,44,13,Developer,2016-05-18,finalizado
92,30,13,Developer,2016-05-18,finalizado
93,26,13,Developer,2016-05-18,finalizado
94,24,13,Tester,2016-05-18,finalizado
95,27,14,Developer,2020-11-21,finalizado
96,17,14,Developer,2020-11-21,finalizado
97,101,14,Tester,2020-11-21,finalizado
98,42,14,Developer,2020-11-21,finalizado
99,47,14,Tester,2020-11-21,finalizado
100,56,14,Developer,2020-11-21,finalizado
101,53,14,Developer,2020-11-21,finalizado
102,95,14,Developer,2020-11-21,finalizado
103,36,14,Developer,2020-11-21,finalizado
104,6,15,Developer,2020-05-09,activo
105,27,15,Developer,2020-05-09,activo
106,109,15,Developer,2020-05-09,activo
107,4,15,Developer,2020-05-09,activo
108,21,15,Tester,2020-05-09,activo
109,18,15,Developer,2020-05-09,activo
110,116,15,Developer,2020-05-09,activo
111,49,15,Developer,2020-05-09,activo
112,59,15,Developer,2020-05-09,activo
113,20,15,Developer,2020-05-09,activo
114,120,16,Developer,2023-01-28,finalizado
115,78,16,Developer,2023-01-28,finalizado
116,87,16,Developer,2023-01-28,finalizado
117,15,16,Developer,2023-01-28,finalizado
118,117,17,Developer,2015-12-05,finalizado
119,24,17,Developer,2015-12-05,finalizado
120,14,17,Tester,2015-12-05,finalizado
121,27,17,Developer,2015-12-05,finalizado
122,32,17,Developer,2015-12-05,finalizado
123,107,17,Developer,2015-12-05,finalizado
124,44,17,Tester,2015-12-05,finalizado
125,40,17,Developer,2015-12-05,finalizado
126,2,18,Developer,2018-05-05,finalizado
127,63,18,Developer,2018-05-05,finalizado
128,41,18,Tester,2018-05-05,finalizado
129,6,18,Developer,2018-05-05,finalizado
130,112,18,Developer,2018-05-05,finalizado
131,81,18,Developer,2018-05-05,finalizado
132,88,18,Developer,2018-05-05,finalizado
133,20,18,Developer,2018-05-05,finalizado
134,25,19,Developer,2020-01-06,finalizado
135,107,19,Tester,2020-01-06,finalizado
136,92,19,Developer,2020-01-06,finalizado
137,44,19,Developer,2020-01-06,finalizado
138,62,20,Tester,2017-05-31,finalizado
139,113,20,Developer,2017-05-31,finalizado
140,115,20,Developer,2017-05-31,finalizado
141,20,20,Tester,2017-05-31,finalizado
142,109,20,Developer,2017-05-31,finalizado
143,92,20,Developer,2017-05-31,finalizado
144,23,20,Developer,2017-05-31,finalizado
145,18,21,Developer,2020-07-08,finalizado
146,117,21,Developer,2020-07-08,finalizado
147,81,21,Tester,2020-07-08,finalizado
148,14,21,Developer,2020-07-08,finalizado
149,8,22,Developer,2020-09-12,finalizado
150,85,22,Developer,2020-09-12,finalizado
151,112,22,Developer,2020-09-12,finalizado
152,2,22,Developer,2020-09-12,finalizado
153,6,23,Developer,2018-03-28,finalizado
154,49,23,Tester,2018-03-28,finalizado
155,15,23,Developer,2018-03-28,finalizado
156,40,23,Tester,2018-03-28,finalizado
157,24,23,Tester,2018-03-28,finalizado
158,95,23,Developer,2018-03-28,finalizado
159,23,23,Developer,2018-03-28,finalizado
160,36,23,Developer,2018-03-28,finalizado
161,109,23,Developer,2018-03-28,finalizado
162,50,23,Developer,2018-03-28,finalizado
163,24,24,Developer,2018-08-05,finalizado
164,26,24,Developer,2018-08-05,finalizado
165,111,24,Developer,2018-08-05,finalizado
166,30,24,Developer,2018-08-05,finalizado
167,115,24,Developer,2018-08-05,finalizado
168,37,24,Developer,2018-08-05,finalizado
169,109,24,Developer,2018-08-05,finalizado
170,40,24,Developer,2018-08-05,finalizado
171,107,24,Tester,2018-08-05,finalizado
172,36,24,Developer,2018-08-05,finalizado
173,43,25,Developer,2020-11-26,finalizado
174,111,25,Developer,2020-11-26,finalizado
175,35,25,Developer,2020-11-26,finalizado
176,24,25,Developer,2020-11-26,finalizado
177,29,25,Developer,2020-11-26,finalizado
178,21,25,Developer,2020-11-26,finalizado
179,79,25,Developer,2020-11-26,finalizado
180,18,25,Developer,2020-11-26,finalizado
181,109,25,Tester,2020-11-26,finalizado
182,44,26,Tester,2017-02-21,activo
183,27,26,Developer,2017-02-21,activo
184,26,26,Developer,2017-02-21,activo
185,109,26,Developer,2017-02-21,activo
186,45,26,Tester,2017-02-21,activo
187,113,26,Tester,2017-02-21,activo
188,95,26,Tester,2017-02-21,activo
189,30,27,Developer,2018-01-01,finalizado
190,115,27,Tester,2018-01-01,finalizado
191,14,27,Tester,2018-01-01,finalizado
192,95,27,Tester,2018-01-01,finalizado
193,24,27,Developer,2018-01-01,finalizado
194,24,28,Tester,2016-06-17,finalizado
195,27,28,Developer,2016-06-17,finalizado
196,32,28,Tester,2016-06-17,finalizado
197,63,28,Tester,2016-06-17,finalizado
198,14,28,Tester,2016-06-17,finalizado
199,107,28,Developer,2016-06-17,finalizado
200,40,28,Tester,2016-06-17,finalizado
201,30,28,Developer,2016-06-17,finalizado
202,95,28,Developer,2016-06-17,finalizado
203,45,28,Developer,2016-06-17,finalizado
204,61,29,Developer,2025-05-19,activo
205,114,29,Developer,2025-05-19,activo
206,10,29,Tester,2025-05-19,activo
207,81,29,Tester,2025-05-19,activo
208,93,29,Developer,2025-05-19,activo
209,115,29,Developer,2025-05-19,activo
210,18,29,Developer,2025-05-19,activo
211,86,29,Developer,2025-05-19,activo
212,117,30,Developer,2017-08-27,activo
213,30,30,Developer,2017-08-27,activo
214,44,30,Developer,2017-08-27,activo
215,15,30,Developer,2017-08-27,activo
216,102,30,Tester,2017-08-27,activo
217,32,30,Developer,2017-08-27,activo
218,24,30,Developer,2017-08-27,activo
219,63,30,Developer,2017-08-27,activo
220,2,30,Tester,2017-08-27,activo
221,62,31,Developer,2017-09-26,finalizado
222,20,31,Developer,2017-09-26,finalizado
223,27,31,Developer,2017-09-26,finalizado
224,103,31,Developer,2017-09-26,finalizado
225,47,31,Developer,2017-09-26,finalizado
226,2,31,Developer,2017-09-26,finalizado
227,115,31,Developer,2017-09-26,finalizado
228,70,31,Developer,2017-09-26,finalizado
229,117,32,Developer,2017-05-11,finalizado
230,113,32,Tester,2017-05-11,finalizado
231,37,32,Developer,2017-05-11,finalizado
232,32,32,Tester,2017-05-11,finalizado
233,6,32,Developer,2017-05-11,finalizado
234,115,32,Developer,2017-05-11,finalizado
235,2,32,Developer,2017-05-11,finalizado
236,27,33,Developer,2019-02-04,finalizado
237,59,33,Developer,2019-02-04,finalizado
238,44,33,Developer,2019-02-04,finalizado
239,81,33,Developer,2019-02-04,finalizado
240,111,33,Developer,2019-02-04,finalizado
241,112,33,Developer,2019-02-04,finalizado
242,45,33,Tester,2019-02-04,finalizado
243,118,33,Developer,2019-02-04,finalizado
244,59,34,Developer,2019-05-06,finalizado
245,109,34,Developer,2019-05-06,finalizado
246,47,34,Tester,2019-05-06,finalizado
247,41,34,Tester,2019-05-06,finalizado
248,27,35,Developer,2022-07-14,finalizado
249,5,35,Developer,2022-07-14,finalizado
250,88,35,Tester,2022-07-14,finalizado
251,1,35,Developer,2022-07-14,finalizado
252,46,35,Developer,2022-07-14,finalizado
253,84,35,Developer,2022-07-14,finalizado
254,87,35,Tester,2022-07-14,finalizado
255,111,35,Tester,2022-07-14,finalizado
256,4,35,Developer,2022-07-14,finalizado
257,69,35,Developer,2022-07-14,finalizado
258,59,36,Developer,2017-12-18,finalizado
259,5,36,Tester,2017-12-18,finalizado
260,37,36,Developer,2017-12-18,finalizado
261,117,36,Developer,2017-12-18,finalizado
262,111,36,Developer,2017-12-18,finalizado
263,8,36,Developer,2017-12-18,finalizado
264,112,36,Developer,2017-12-18,finalizado
265,103,37,Developer,2016-01-28,finalizado
266,14,37,Tester,2016-01-28,finalizado
267,40,37,Developer,2016-01-28,finalizado
268,24,37,Tester,2016-01-28,finalizado
269,30,37,Developer,2016-01-28,finalizado
270,112,37,Developer,2016-01-28,finalizado
271,42,38,Developer,2025-08-29,activo
272,107,38,Tester,2025-08-29,activo
273,81,38,Tester,2025-08-29,activo
274,48,38,Developer,2025-08-29,activo
275,94,38,Tester,2025-08-29,activo
276,30,39,Tester,2019-07-22,finalizado
277,62,39,Developer,2019-07-22,finalizado
278,4,39,Developer,2019-07-22,finalizado
279,70,39,Tester,2019-07-22,finalizado
280,50,39,Tester,2019-07-22,finalizado
281,20,39,Developer,2019-07-22,finalizado
282,63,40,Developer,2017-09-30,finalizado
283,117,40,Developer,2017-09-30,finalizado
284,107,40,Developer,2017-09-30,finalizado
285,92,40,Developer,2017-09-30,finalizado
286,32,40,Tester,2017-09-30,finalizado
287,24,40,Developer,2017-09-30,finalizado
288,107,41,Developer,2021-11-26,finalizado
289,57,41,Tester,2021-11-26,finalizado
290,113,41,Tester,2021-11-26,finalizado
291,62,41,Tester,2021-11-26,finalizado
292,5,41,Developer,2021-11-26,finalizado
293,77,41,Tester,2021-11-26,finalizado
294,8,42,Developer,2017-06-16,finalizado
295,44,42,Developer,2017-06-16,finalizado
296,32,42,Tester,2017-06-16,finalizado
297,63,42,Developer,2017-06-16,finalizado
298,6,43,Tester,2017-04-22,finalizado
299,92,43,Tester,2017-04-22,finalizado
300,23,43,Developer,2017-04-22,finalizado
301,27,43,Tester,2017-04-22,finalizado
302,117,43,Developer,2017-04-22,finalizado
303,44,43,Developer,2017-04-22,finalizado
304,40,43,Developer,2017-04-22,finalizado
305,62,43,Developer,2017-04-22,finalizado
306,111,44,Developer,2016-02-02,finalizado
307,30,44,Developer,2016-02-02,finalizado
308,14,44,Developer,2016-02-02,finalizado
309,2,44,Tester,2016-02-02,finalizado
310,63,44,Developer,2016-02-02,finalizado
311,32,44,Developer,2016-02-02,finalizado
312,117,44,Developer,2016-02-02,finalizado
313,95,44,Developer,2016-02-02,finalizado
314,24,44,Developer,2016-02-02,finalizado
315,8,45,Developer,2018-01-04,activo
316,117,45,Developer,2018-01-04,activo
317,111,45,Developer,2018-01-04,activo
318,87,45,Developer,2018-01-04,activo
319,50,45,Tester,2018-01-04,activo
320,36,45,Tester,2018-01-04,activo
321,81,45,Developer,2018-01-04,activo
322,107,45,Developer,2018-01-04,activo
323,15,46,Tester,2019-06-19,finalizado
324,23,46,Developer,2019-06-19,finalizado
325,103,46,Developer,2019-06-19,finalizado
326,26,46,Developer,2019-06-19,finalizado
327,37,46,Developer,2019-06-19,finalizado
328,111,47,Developer,2021-05-14,finalizado
329,116,47,Developer,2021-05-14,finalizado
330,23,47,Developer,2021-05-14,finalizado
331,29,47,Developer,2021-05-14,finalizado
332,81,48,Developer,2021-03-31,finalizado
333,39,48,Developer,2021-03-31,finalizado
334,32,48,Developer,2021-03-31,finalizado
335,43,48,Developer,2021-03-31,finalizado
336,95,48,Developer,2021-03-31,finalizado
337,62,48,Tester,2021-03-31,finalizado
338,30,49,Developer,2020-04-05,finalizado
339,102,49,Tester,2020-04-05,finalizado
340,32,49,Developer,2020-04-05,finalizado
341,4,49,Developer,2020-04-05,finalizado
342,27,49,Tester,2020-04-05,finalizado
343,7,49,Developer,2020-04-05,finalizado
344,109,49,Tester,2020-04-05,finalizado
345,41,49,Developer,2020-04-05,finalizado
346,89,49,Developer,2020-04-05,finalizado
347,81,50,Tester,2021-02-02,finalizado
348,77,50,Tester,2021-02-02,finalizado
349,111,50,Developer,2021-02-02,finalizado
350,23,50,Developer,2021-02-02,finalizado
351,5,50,Developer,2021-02-02,finalizado
352,98,50,Developer,2021-02-02,finalizado
353,17,50,Tester,2021-02-02,finalizado
354,44,50,Developer,2021-02-02,finalizado
355,67,51,Tester,2023-11-14,finalizado
356,6,51,Developer,2023-11-14,finalizado
357,10,51,Tester,2023-11-14,finalizado
358,48,51,Tester,2023-11-14,finalizado
359,95,51,Developer,2023-11-14,finalizado
360,59,51,Developer,2023-11-14,finalizado
361,81,52,Developer,2019-01-12,finalizado
362,112,52,Developer,2019-01-12,finalizado
363,111,52,Developer,2019-01-12,finalizado
364,5,52,Tester,2019-01-12,finalizado
365,62,52,Developer,2019-01-12,finalizado
366,103,52,Tester,2019-01-12,finalizado
367,37,52,Tester,2019-01-12,finalizado
368,63,53,Tester,2016-01-17,finalizado
369,107,53,Tester,2016-01-17,finalizado
370,30,53,Tester,2016-01-17,finalizado
371,117,53,Tester,2016-01-17,finalizado
372,44,53,Developer,2016-01-17,finalizado
373,2,54,Tester,2021-06-10,activo
374,107,54,Tester,2021-06-10,activo
