id_prueba,id_asignacion,descripcion,tipo,fecha_ejecucion,resultado,severidad_defecto,tiempo_resolucion_horas
1,1,Prueba auto 1,integración,2024-11-04,éxito,nula,0
2,1,Prueba auto 2,integración,2024-09-30,éxito,nula,0
3,1,Prueba auto 3,sistema,2024-10-14,éxito,nula,0
4,1,Prueba auto 4,integración,2024-10-13,éxito,nula,0
5,1,Prueba auto 5,sistema,2024-06-12,éxito,nula,0
6,1,Prueba auto 6,integración,2024-09-28,éxito,nula,0
7,1,Prueba auto 7,integración,2024-06-09,fallo,media,4
8,1,Prueba auto 8,sistema,2024-06-23,éxito,nula,0
9,1,Prueba auto 9,sistema,2024-09-17,éxito,nula,0
10,1,Prueba auto 10,sistema,2024-11-13,éxito,nula,0
11,1,Prueba auto 11,integración,2024-10-29,fallo,media,1
12,1,Prueba auto 12,sistema,2024-06-28,éxito,nula,0
13,1,Prueba auto 13,integración,2024-09-18,éxito,nula,0
14,1,Prueba auto 14,sistema,2024-10-16,éxito,nula,0
15,1,Prueba auto 15,integración,2024-09-20,éxito,nula,0
16,1,Prueba auto 16,sistema,2024-09-05,éxito,nula,0
17,1,Prueba auto 17,sistema,2024-09-09,éxito,nula,0
18,1,Prueba auto 18,integración,2024-09-10,éxito,nula,0
19,1,Prueba auto 19,integración,2024-10-26,fallo,media,5
20,1,Prueba auto 20,sistema,2024-10-24,éxito,nula,0
21,1,Prueba auto 21,integración,2024-11-25,éxito,nula,0
22,1,Prueba auto 22,integración,2024-08-19,fallo,crítica,3
23,1,Prueba auto 23,integración,2024-08-21,éxito,nula,0
24,1,Prueba auto 24,integración,2024-09-06,éxito,nula,0
25,1,Prueba auto 25,sistema,2024-08-26,éxito,nula,0
26,1,Prueba auto 26,integración,2024-07-12,éxito,nula,0
27,1,Prueba auto 27,integración,2024-10-11,éxito,nula,0
28,1,Prueba auto 28,sistema,2024-09-27,éxito,nula,0
29,7,Prueba auto 29,sistema,2024-07-28,fallo,media,7
30,7,Prueba auto 30,sistema,2024-08-25,éxito,nula,0
31,7,Prueba auto 31,sistema,2024-11-18,éxito,nula,0
32,7,Prueba auto 32,integración,2024-07-27,éxito,nula,0
33,7,Prueba auto 33,sistema,2024-09-11,éxito,nula,0
34,7,Prueba auto 34,integración,2024-08-26,éxito,nula,0
35,7,Prueba auto 35,sistema,2024-07-27,éxito,nula,0
36,7,Prueba auto 36,integración,2024-09-19,éxito,nula,0
37,7,Prueba auto 37,integración,2024-08-15,fallo,media,2
38,7,Prueba auto 38,sistema,2024-07-08,éxito,nula,0
39,7,Prueba auto 39,integración,2024-09-12,fallo,baja,3
40,7,Prueba auto 40,integración,2024-10-31,éxito,nula,0
41,7,Prueba auto 41,sistema,2024-08-20,fallo,media,7
42,7,Prueba auto 42,integración,2024-07-10,éxito,nula,0
43,7,Prueba auto 43,sistema,2024-08-13,éxito,nula,0
44,7,Prueba auto 44,integración,2024-09-28,fallo,media,5
45,7,Prueba auto 45,integración,2024-09-10,éxito,nula,0
46,7,Prueba auto 46,sistema,2024-07-28,éxito,nula,0
47,7,Prueba auto 47,integración,2024-11-15,éxito,nula,0
48,7,Prueba auto 48,sistema,2024-10-03,éxito,nula,0
49,7,Prueba auto 49,integración,2024-07-27,éxito,nula,0
50,9,Prueba auto 50,integración,2024-09-25,fallo,baja,7
51,9,Prueba auto 51,integración,2024-10-16,éxito,nula,0
52,9,Prueba auto 52,integración,2024-10-23,éxito,nula,0
53,9,Prueba auto 53,sistema,2024-10-17,éxito,nula,0
54,9,Prueba auto 54,integración,2024-05-29,éxito,nula,0
55,9,Prueba auto 55,sistema,2024-08-17,éxito,nula,0
56,9,Prueba auto 56,sistema,2024-10-22,éxito,nula,0
57,9,Prueba auto 57,integración,2024-09-19,éxito,nula,0
58,9,Prueba auto 58,sistema,2024-07-11,éxito,nula,0
59,9,Prueba auto 59,integración,2024-09-17,éxito,nula,0
60,9,Prueba auto 60,integración,2024-08-31,éxito,nula,0
61,9,Prueba auto 61,integración,2024-10-26,fallo,media,8
62,9,Prueba auto 62,integración,2024-06-04,éxito,nula,0
63,9,Prueba auto 63,sistema,2024-10-20,éxito,nula,0
64,9,Prueba auto 64,integración,2024-11-02,éxito,nula,0
65,9,Prueba auto 65,sistema,2024-09-02,fallo,alta,8
66,9,Prueba auto 66,sistema,2024-08-13,éxito,nula,0
67,9,Prueba auto 67,integración,2024-10-26,fallo,alta,5
68,9,Prueba auto 68,sistema,2024-11-22,éxito,nula,0
69,9,Prueba auto 69,integración,2024-04-26,éxito,nula,0
70,9,Prueba auto 70,sistema,2024-08-24,fallo,media,6
71,9,Prueba auto 71,integración,2024-05-27,fallo,media,8
72,9,Prueba auto 72,sistema,2024-08-26,fallo,baja,1
73,9,Prueba auto 73,integración,2024-08-22,éxito,nula,0
74,9,Prueba auto 74,integración,2024-04-06,éxito,nula,0
75,9,Prueba auto 75,integración,2024-08-30,éxito,nula,0
76,9,Prueba auto 76,integración,2024-08-12,fallo,alta,7
77,9,Prueba auto 77,integración,2024-11-18,éxito,nula,0
78,9,Prueba auto 78,integración,2024-09-09,éxito,nula,0
79,9,Prueba auto 79,integración,2024-10-04,éxito,nula,0
80,9,Prueba auto 80,integración,2024-11-06,éxito,nula,0
81,9,Prueba auto 81,sistema,2024-11-03,éxito,nula,0
82,9,Prueba auto 82,integración,2024-09-25,éxito,nula,0
83,9,Prueba auto 83,integración,2024-11-28,éxito,nula,0
84,9,Prueba auto 84,sistema,2024-08-21,éxito,nula,0
85,9,Prueba auto 85,sistema,2024-11-26,éxito,nula,0
86,16,Prueba auto 86,integración,2016-05-17,éxito,nula,0
87,16,Prueba auto 87,sistema,2016-04-21,fallo,baja,3
88,16,Prueba auto 88,integración,2016-05-07,éxito,nula,0
89,16,Prueba auto 89,sistema,2016-05-13,fallo,alta,7
90,16,Prueba auto 90,integración,2016-04-28,fallo,media,3
91,16,Prueba auto 91,integración,2016-04-30,fallo,crítica,6
92,16,Prueba auto 92,integración,2016-05-17,éxito,nula,0
93,16,Prueba auto 93,sistema,2016-03-17,éxito,nula,0
94,16,Prueba auto 94,sistema,2016-05-26,éxito,nula,0
95,16,Prueba auto 95,sistema,2016-05-25,fallo,crítica,1
96,16,Prueba auto 96,integración,2016-06-01,éxito,nula,0
97,16,Prueba auto 97,integración,2016-04-26,éxito,nula,0
98,16,Prueba auto 98,sistema,2016-05-13,éxito,nula,0
99,16,Prueba auto 99,sistema,2016-04-26,éxito,nula,0
100,16,Prueba auto 100,integración,2016-05-29,éxito,nula,0
101,16,Prueba auto 101,integración,2016-05-02,éxito,nula,0
102,16,Prueba auto 102,integración,2016-05-27,éxito,nula,0
103,16,Prueba auto 103,sistema,2016-04-22,éxito,nula,0
104,16,Prueba auto 104,integración,2016-05-13,éxito,nula,0
105,16,Prueba auto 105,integración,2016-05-03,fallo,crítica,8
106,16,Prueba auto 106,sistema,2016-05-16,éxito,nula,0
107,16,Prueba auto 107,sistema,2016-05-24,éxito,nula,0
108,20,Prueba auto 108,sistema,2021-08-07,éxito,nula,0
109,20,Prueba auto 109,sistema,2021-08-01,éxito,nula,0
110,20,Prueba auto 110,sistema,2021-06-25,éxito,nula,0
111,20,Prueba auto 111,integración,2021-07-04,éxito,nula,0
112,20,Prueba auto 112,sistema,2021-06-02,éxito,nula,0
113,20,Prueba auto 113,sistema,2021-07-10,éxito,nula,0
114,20,Prueba auto 114,sistema,2021-07-29,éxito,nula,0
115,20,Prueba auto 115,integración,2021-02-16,fallo,alta,1
116,20,Prueba auto 116,sistema,2021-07-18,éxito,nula,0
117,20,Prueba auto 117,sistema,2021-08-05,éxito,nula,0
