id_tarea,id_asignacion,nombre,fecha_asignacion,fecha_limite,estado,tiempo_estimado,tiempo_real,prioridad
1,1,Tarea genérica 1,2024-08-15,2024-08-20,completada,5.0,5.5,media
2,1,Tarea genérica 2,2024-05-02,2024-05-07,completada,5.0,5.5,media
3,1,Tarea genérica 3,2024-10-16,2024-10-21,completada,5.0,5.5,media
4,1,Tarea genérica 4,2024-04-01,2024-04-06,completada,5.0,5.5,media
5,1,Tarea genérica 5,2024-05-06,2024-05-11,completada,5.0,5.5,media
6,1,Tarea genérica 6,2024-06-04,2024-06-09,completada,5.0,5.5,media
7,1,Tarea genérica 7,2024-01-02,2024-01-07,completada,5.0,5.5,media
8,1,Tarea genérica 8,2024-10-02,2024-10-07,completada,5.0,5.5,media
9,2,Tarea genérica 9,2024-05-25,2024-05-30,completada,5.0,5.5,media
10,2,Tarea genérica 10,2024-12-08,2024-12-13,completada,5.0,5.5,media
11,2,Tarea genérica 11,2024-10-08,2024-10-13,completada,5.0,5.5,media
12,2,Tarea genérica 12,2024-05-20,2024-05-25,completada,5.0,5.5,media
13,3,Tarea genérica 13,2024-02-04,2024-02-09,completada,5.0,5.5,media
14,3,Tarea genérica 14,2024-11-09,2024-11-14,completada,5.0,5.5,media
15,3,Tarea genérica 15,2024-08-13,2024-08-18,completada,5.0,5.5,media
16,3,Tarea genérica 16,2024-02-07,2024-02-12,completada,5.0,5.5,media
17,3,Tarea genérica 17,2024-09-11,2024-09-16,completada,5.0,5.5,media
18,3,Tarea genérica 18,2024-11-15,2024-11-20,completada,5.0,5.5,media
19,3,Tarea genérica 19,2024-07-24,2024-07-29,completada,5.0,5.5,media
20,3,Tarea genérica 20,2024-04-18,2024-04-23,completada,5.0,5.5,media
21,4,Tarea genérica 21,2024-02-13,2024-02-18,completada,5.0,5.5,media
22,4,Tarea genérica 22,2024-07-06,2024-07-11,completada,5.0,5.5,media
23,4,Tarea genérica 23,2024-08-08,2024-08-13,completada,5.0,5.5,media
24,4,Tarea genérica 24,2024-03-21,2024-03-26,completada,5.0,5.5,media
25,4,Tarea genérica 25,2024-05-17,2024-05-22,completada,5.0,5.5,media
26,4,Tarea genérica 26,2024-01-30,2024-02-04,completada,5.0,5.5,media
27,4,Tarea genérica 27,2024-11-20,2024-11-25,completada,5.0,5.5,media
28,4,Tarea genérica 28,2024-08-05,2024-08-10,completada,5.0,5.5,media
29,5,Tarea genérica 29,2024-03-08,2024-03-13,completada,5.0,5.5,media
30,5,Tarea genérica 30,2024-07-21,2024-07-26,completada,5.0,5.5,media
31,5,Tarea genérica 31,2024-03-26,2024-03-31,completada,5.0,5.5,media
32,6,Tarea genérica 32,2023-12-23,2023-12-28,completada,5.0,5.5,media
33,6,Tarea genérica 33,2024-04-26,2024-05-01,completada,5.0,5.5,media
34,6,Tarea genérica 34,2024-02-23,2024-02-28,completada,5.0,5.5,media
35,6,Tarea genérica 35,2024-06-11,2024-06-16,completada,5.0,5.5,media
36,6,Tarea genérica 36,2024-11-04,2024-11-09,completada,5.0,5.5,media
37,7,Tarea genérica 37,2024-01-22,2024-01-27,completada,5.0,5.5,media
38,7,Tarea genérica 38,2024-09-12,2024-09-17,completada,5.0,5.5,media
39,7,Tarea genérica 39,2024-06-01,2024-06-06,completada,5.0,5.5,media
40,7,Tarea genérica 40,2024-06-08,2024-06-13,completada,5.0,5.5,media
41,8,Tarea genérica 41,2024-08-03,2024-08-08,completada,5.0,5.5,media
42,8,Tarea genérica 42,2024-02-18,2024-02-23,completada,5.0,5.5,media
43,8,Tarea genérica 43,2024-04-28,2024-05-03,completada,5.0,5.5,media
44,8,Tarea genérica 44,2024-08-05,2024-08-10,completada,5.0,5.5,media
45,8,Tarea genérica 45,2024-04-01,2024-04-06,completada,5.0,5.5,media
46,8,Tarea genérica 46,2024-11-04,2024-11-09,completada,5.0,5.5,media
47,8,Tarea genérica 47,2024-09-11,2024-09-16,completada,5.0,5.5,media
48,9,Tarea genérica 48,2024-07-03,2024-07-08,completada,5.0,5.5,media
49,9,Tarea genérica 49,2024-12-05,2024-12-10,completada,5.0,5.5,media
50,9,Tarea genérica 50,2024-03-16,2024-03-21,completada,5.0,5.5,media
51,9,Tarea genérica 51,2024-10-31,2024-11-05,completada,5.0,5.5,media
52,9,Tarea genérica 52,2024-04-01,2024-04-06,completada,5.0,5.5,media
53,9,Tarea genérica 53,2024-01-22,2024-01-27,completada,5.0,5.5,media
54,9,Tarea genérica 54,2024-01-02,2024-01-07,completada,5.0,5.5,media
55,9,Tarea genérica 55,2024-01-10,2024-01-15,completada,5.0,5.5,media
56,10,Tarea genérica 56,2016-05-27,2016-06-01,completada,5.0,5.5,media
57,10,Tarea genérica 57,2016-02-18,2016-02-23,completada,5.0,5.5,media
58,10,Tarea genérica 58,2016-02-28,2016-03-04,completada,5.0,5.5,media
59,10,Tarea genérica 59,2016-03-06,2016-03-11,completada,5.0,5.5,media
60,10,Tarea genérica 60,2016-04-13,2016-04-18,completada,5.0,5.5,media
61,10,Tarea genérica 61,2016-04-16,2016-04-21,completada,5.0,5.5,media
62,10,Tarea genérica 62,2016-03-31,2016-04-05,completada,5.0,5.5,media
63,10,Tarea genérica 63,2016-04-24,2016-04-29,completada,5.0,5.5,media
64,11,Tarea genérica 64,2016-03-17,2016-03-22,completada,5.0,5.5,media
65,11,Tarea genérica 65,2016-05-03,2016-05-08,completada,5.0,5.5,media
66,11,Tarea genérica 66,2016-04-02,2016-04-07,completada,5.0,5.5,media
67,11,Tarea genérica 67,2016-03-26,2016-03-31,completada,5.0,5.5,media
68,11,Tarea genérica 68,2016-05-03,2016-05-08,completada,5.0,5.5,media
69,11,Tarea genérica 69,2016-02-17,2016-02-22,completada,5.0,5.5,media
70,11,Tarea genérica 70,2016-03-31,2016-04-05,completada,5.0,5.5,media
71,12,Tarea genérica 71,2016-05-06,2016-05-11,completada,5.0,5.5,media
72,12,Tarea genérica 72,2016-04-28,2016-05-03,completada,5.0,5.5,media
73,12,Tarea genérica 73,2016-04-24,2016-04-29,completada,5.0,5.5,media
74,12,Tarea genérica 74,2016-06-06,2016-06-11,completada,5.0,5.5,media
75,13,Tarea genérica 75,2016-05-29,2016-06-03,completada,5.0,5.5,media
76,13,Tarea genérica 76,2016-03-30,2016-04-04,completada,5.0,5.5,media
77,13,Tarea genérica 77,2016-02-24,2016-02-29,completada,5.0,5.5,media
78,14,Tarea genérica 78,2016-04-17,2016-04-22,completada,5.0,5.5,media
79,14,Tarea genérica 79,2016-03-21,2016-03-26,completada,5.0,5.5,media
80,14,Tarea genérica 80,2016-03-13,2016-03-18,completada,5.0,5.5,media
81,14,Tarea genérica 81,2016-03-21,2016-03-26,completada,5.0,5.5,media
82,14,Tarea genérica 82,2016-05-10,2016-05-15,completada,5.0,5.5,media
83,14,Tarea genérica 83,2016-04-15,2016-04-20,completada,5.0,5.5,media
84,15,Tarea genérica 84,2016-03-10,2016-03-15,completada,5.0,5.5,media
85,15,Tarea genérica 85,2016-02-20,2016-02-25,completada,5.0,5.5,media
86,15,Tarea genérica 86,2016-02-23,2016-02-28,completada,5.0,5.5,media
87,15,Tarea genérica 87,2016-04-27,2016-05-02,completada,5.0,5.5,media
88,15,Tarea genérica 88,2016-04-16,2016-04-21,completada,5.0,5.5,media
89,15,Tarea genérica 89,2016-05-06,2016-05-11,completada,5.0,5.5,media
90,16,Tarea genérica 90,2016-03-16,2016-03-21,completada,5.0,5.5,media
91,16,Tarea genérica 91,2016-04-13,2016-04-18,completada,5.0,5.5,media
92,16,Tarea genérica 92,2016-05-04,2016-05-09,completada,5.0,5.5,media
93,16,Tarea genérica 93,2016-03-26,2016-03-31,completada,5.0,5.5,media
94,16,Tarea genérica 94,2016-04-02,2016-04-07,completada,5.0,5.5,media
95,16,Tarea genérica 95,2016-04-21,2016-04-26,completada,5.0,5.5,media
96,16,Tarea genérica 96,2016-05-06,2016-05-11,completada,5.0,5.5,media
97,17,Tarea genérica 97,2016-03-23,2016-03-28,completada,5.0,5.5,media
98,17,Tarea genérica 98,2016-02-18,2016-02-23,completada,5.0,5.5,media
99,17,Tarea genérica 99,2016-04-30,2016-05-05,completada,5.0,5.5,media
100,17,Tarea genérica 100,2016-06-03,2016-06-08,completada,5.0,5.5,media
101,17,Tarea genérica 101,2016-02-24,2016-02-29,completada,5.0,5.5,media
102,18,Tarea genérica 102,2016-05-19,2016-05-24,completada,5.0,5.5,media
103,18,Tarea genérica 103,2016-04-01,2016-04-06,completada,5.0,5.5,media
104,18,Tarea genérica 104,2016-05-05,2016-05-10,completada,5.0,5.5,media
105,18,Tarea genérica 105,2016-04-15,2016-04-20,completada,5.0,5.5,media
106,18,Tarea genérica 106,2016-03-05,2016-03-10,completada,5.0,5.5,media
107,18,Tarea genérica 107,2016-03-21,2016-03-26,completada,5.0,5.5,media
108,18,Tarea genérica 108,2016-03-22,2016-03-27,completada,5.0,5.5,media
109,18,Tarea genérica 109,2016-03-12,2016-03-17,completada,5.0,5.5,media
110,19,Tarea genérica 110,2016-06-04,2016-06-09,completada,5.0,5.5,media
111,19,Tarea genérica 111,2016-04-18,2016-04-23,completada,5.0,5.5,media
112,19,Tarea genérica 112,2016-03-27,2016-04-01,completada,5.0,5.5,media
113,19,Tarea genérica 113,2016-06-01,2016-06-06,completada,5.0,5.5,media
114,19,Tarea genérica 114,2016-05-05,2016-05-10,completada,5.0,5.5,media
115,19,Tarea genérica 115,2016-05-26,2016-05-31,completada,5.0,5.5,media
116,19,Tarea genérica 116,2016-05-22,2016-05-27,completada,5.0,5.5,media
117,19,Tarea genérica 117,2016-04-17,2016-04-22,completada,5.0,5.5,media
118,20,Tarea genérica 118,2021-08-07,2021-08-12,completada,5.0,5.5,media
119,20,Tarea genérica 119,2021-08-25,2021-08-30,completada,5.0,5.5,media
120,20,Tarea genérica 120,2021-02-22,2021-02-27,completada,5.0,5.5,media
121,20,Tarea genérica 121,2020-11-30,2020-12-05,completada,5.0,5.5,media
122,21,Tarea genérica 122,2021-07-11,2021-07-16,completada,5.0,5.5,media
123,21,Tarea genérica 123,2021-07-29,2021-08-03,completada,5.0,5.5,media
124,21,Tarea genérica 124,2021-03-29,2021-04-03,completada,5.0,5.5,media
125,22,Tarea genérica 125,2021-07-16,2021-07-21,completada,5.0,5.5,media
126,22,Tarea genérica 126,2021-06-15,2021-06-20,completada,5.0,5.5,media
127,22,Tarea genérica 127,2021-01-08,2021-01-13,completada,5.0,5.5,media
128,22,Tarea genérica 128,2021-01-11,2021-01-16,completada,5.0,5.5,media
129,22,Tarea genérica 129,2021-08-25,2021-08-30,completada,5.0,5.5,media
130,22,Tarea genérica 130,2020-12-02,2020-12-07,completada,5.0,5.5,media
131,22,Tarea genérica 131,2020-11-30,2020-12-05,completada,5.0,5.5,media
132,22,Tarea genérica 132,2020-12-23,2020-12-28,completada,5.0,5.5,media
133,23,Tarea genérica 133,2021-01-07,2021-01-12,completada,5.0,5.5,media
134,23,Tarea genérica 134,2021-05-09,2021-05-14,completada,5.0,5.5,media
135,23,Tarea genérica 135,2021-02-13,2021-02-18,completada,5.0,5.5,media
136,23,Tarea genérica 136,2021-07-16,2021-07-21,completada,5.0,5.5,media
137,23,Tarea genérica 137,2021-07-09,2021-07-14,completada,5.0,5.5,media
138,24,Tarea genérica 138,2021-05-02,2021-05-07,completada,5.0,5.5,media
139,24,Tarea genérica 139,2021-03-18,2021-03-23,completada,5.0,5.5,media
140,24,Tarea genérica 140,2020-12-29,2021-01-03,completada,5.0,5.5,media
141,24,Tarea genérica 141,2021-06-05,2021-06-10,completada,5.0,5.5,media
142,24,Tarea genérica 142,2021-04-24,2021-04-29,completada,5.0,5.5,media
143,24,Tarea genérica 143,2021-06-24,2021-06-29,completada,5.0,5.5,media
144,24,Tarea genérica 144,2020-11-28,2020-12-03,completada,5.0,5.5,media
145,25,Tarea genérica 145,2021-04-21,2021-04-26,completada,5.0,5.5,media
146,25,Tarea genérica 146,2021-03-03,2021-03-08,completada,5.0,5.5,media
147,25,Tarea genérica 147,2021-03-22,2021-03-27,completada,5.0,5.5,media
148,25,Tarea genérica 148,2021-04-05,2021-04-10,completada,5.0,5.5,media
149,25,Tarea genérica 149,2021-02-27,2021-03-04,completada,5.0,5.5,media
150,25,Tarea genérica 150,2021-07-05,2021-07-10,completada,5.0,5.5,media
151,26,Tarea genérica 151,2021-05-09,2021-05-14,completada,5.0,5.5,media
152,26,Tarea genérica 152,2021-03-25,2021-03-30,completada,5.0,5.5,media
153,26,Tarea genérica 153,2021-05-17,2021-05-22,completada,5.0,5.5,media
154,26,Tarea genérica 154,2021-06-27,2021-07-02,completada,5.0,5.5,media
155,26,Tarea genérica 155,2021-07-04,2021-07-09,completada,5.0,5.5,media
156,27,Tarea genérica 156,2021-07-23,2021-07-28,completada,5.0,5.5,media
157,27,Tarea genérica 157,2021-05-04,2021-05-09,completada,5.0,5.5,media
158,27,Tarea genérica 158,2021-03-27,2021-04-01,completada,5.0,5.5,media
159,27,Tarea genérica 159,2021-01-02,2021-01-07,completada,5.0,5.5,media
