id_hecho_calidad,id_proyecto,id_tiempo,tipo_prueba,severidad,cantidad_defectos_encontrados
1,1,20240406,integración,nula,0
2,1,20240426,integración,nula,0
3,1,20240527,integración,media,1
4,1,20240529,integración,nula,0
5,1,20240604,integración,nula,0
6,1,20240609,integración,media,1
7,1,20240612,sistema,nula,0
8,1,20240623,sistema,nula,0
9,1,20240628,sistema,nula,0
10,1,20240708,sistema,nula,0
11,1,20240710,integración,nula,0
12,1,20240711,sistema,nula,0
13,1,20240712,integración,nula,0
14,1,20240727,integración,nula,0
15,1,20240727,sistema,nula,0
16,1,20240728,sistema,media,1
17,1,20240728,sistema,nula,0
18,1,20240812,integración,alta,1
19,1,20240813,sistema,nula,0
20,1,20240815,integración,media,1
21,1,20240817,sistema,nula,0
22,1,20240819,integración,crítica,1
23,1,20240820,sistema,media,1
24,1,20240821,integración,nula,0
25,1,20240821,sistema,nula,0
26,1,20240822,integración,nula,0
27,1,20240824,sistema,media,1
28,1,20240825,sistema,nula,0
29,1,20240826,integración,nula,0
30,1,20240826,sistema,baja,1
31,1,20240826,sistema,nula,0
32,1,20240830,integración,nula,0
33,1,20240831,integración,nula,0
34,1,20240902,sistema,alta,1
35,1,20240905,sistema,nula,0
36,1,20240906,integración,nula,0
37,1,20240909,integración,nula,0
38,1,20240909,sistema,nula,0
39,1,20240910,integración,nula,0
40,1,20240911,sistema,nula,0
41,1,20240912,integración,baja,1
42,1,20240917,integración,nula,0
43,1,20240917,sistema,nula,0
44,1,20240918,integración,nula,0
45,1,20240919,integración,nula,0
46,1,20240920,integración,nula,0
47,1,20240925,integración,baja,1
48,1,20240925,integración,nula,0
49,1,20240927,sistema,nula,0
50,1,20240928,integración,media,1
51,1,20240928,integración,nula,0
52,1,20240930,integración,nula,0
53,1,20241003,sistema,nula,0
54,1,20241004,integración,nula,0
55,1,20241011,integración,nula,0
56,1,20241013,integración,nula,0
57,1,20241014,sistema,nula,0
58,1,20241016,integración,nula,0
59,1,20241016,sistema,nula,0
60,1,20241017,sistema,nula,0
61,1,20241020,sistema,nula,0
62,1,20241022,sistema,nula,0
63,1,20241023,integración,nula,0
64,1,20241024,sistema,nula,0
65,1,20241026,integración,alta,1
66,1,20241026,integración,media,2
67,1,20241029,integración,media,1
68,1,20241031,integración,nula,0
69,1,20241102,integración,nula,0
70,1,20241103,sistema,nula,0
71,1,20241104,integración,nula,0
72,1,20241106,integración,nula,0
73,1,20241113,sistema,nula,0
74,1,20241115,integración,nula,0
75,1,20241118,integración,nula,0
76,1,20241118,sistema,nula,0
77,1,20241122,sistema,nula,0
78,1,20241125,integración,nula,0
79,1,20241126,sistema,nula,0
80,1,20241128,integración,nula,0
81,2,20160317,sistema,nula,0
82,2,20160421,sistema,baja,1
83,2,20160422,sistema,nula,0
84,2,20160426,integración,nula,0
