id_industria,nombre_industria
1,Operador de telar y otras máquinas tejedoras
2,Secretario administrativo
3,Agente de compras
4,Tasador
5,Lavador de vehículos
6,Ayudante de cocina
7,Agente de servicios de expedición de licencias y permisos
8,Profesional de medicina
9,Receptor de apuestas
10,Técnico de la Web
11,Ensamblador de maquinaria mecánica
12,Supervisor de secretaría
13,Carpintero
14,Detective
15,Operario del tratamiento de la madera
16,Parquetero y colocador de suelos
17,Agente de bolsa
18,Desarrollador Web y multimedia
19,"Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos"
20,Empleado de agencia de viajes
